loss,insulation_to_air_overall_heat_transfer_coefficient_to_environment,pipe_endcaps_to_air_thermal_conductance,heater_weight_1,heater_weight_2,heater_weight_3,heater_weight_4,fluid_to_steel_pipe_convective_heat_transfer_coefficient,steel_thermal_mass_multiplier,TC1_thermal_resistance,TC2_thermal_resistance,TC3_thermal_resistance,TC4_thermal_resistance,TC5_thermal_resistance
19.494929540980046,9.530303484794349,0.23850317615143615,0.06116815535094061,0.32593662317145544,0.800030416251087,0.08088376822257311,1039.8435657727748,11.889791852308615,3.021766878378581,88.23726947875168,11.554339535704155,22.34397702633403,23.05689347267232
18.206967782654424,0.03692379914657143,1.2455972209440618,0.40562274799457076,0.9929098902829889,0.5970173285708932,0.9773968459276304,837.806379267512,8.950795165159132,45.72050636462414,6.3211546542140695,60.47442841146899,20.571996046277576,81.25881673810662
27.764205882942292,1.5192731189137496,2.846453424278619,0.5782644964752821,0.3635285934461756,0.6821119346786854,0.7855039281202953,52.39931316948479,0.6300083493509091,52.3576455247182,72.85068863277033,14.368378117297775,64.84487154819605,29.84010579134594
19.13625662809153,7.914627035859387,2.47275720952933,0.16122791066778766,0.039788675838249556,0.6158066086258571,0.819063647977586,962.0874726863291,5.682525182349375,6.220834983807159,73.89402006102631,46.60996451676461,40.376579067588054,44.81829928073709
15.980197974095661,1.573902764175441,0.8990371892828639,0.18529947938091546,0.40888534830745416,0.8432806696923857,0.7328941602476234,1462.236724198589,10.674770081527631,76.6377748662702,74.35342270698115,85.5881342268704,35.16205635936367,46.49267140599457
15.079288078916846,7.475958658513869,0.14906240887351674,0.4726631751232583,0.106164427982056,0.4768768531245145,0.1639416529928892,11.413416772105734,6.546557460693439,98.28228374929485,61.38922206108852,30.59926526835333,80.7374855393269,12.289390756625174
19.13568442286976,6.033409785792444,3.299009874607127,0.10218817882263305,0.3146103237871684,0.5820034715018455,0.3620629238107078,1964.0262140297505,3.9089242108001656,83.86617228815011,10.62187253991256,45.78190195197482,57.59849418910046,27.079349528830363
49.108211159573656,9.474924384534502,3.19106617828411,0.9715865818166857,0.31421836647703205,0.5295154139668063,0.8561489265887,483.4758594813988,2.927219068025617,66.58987191001287,12.90434908489253,4.5386172519708055,67.99230961047002,7.228956367641517
10.979150585287723,5.717418480955547,0.9519123197150893,0.013050601485688158,0.48798290784462206,0.2989771815887016,0.11842412305293895,45.11708459361461,9.473465360052218,77.4561216516637,79.8627117227322,57.53792956526059,24.73484045228906,95.57111352603725
18.844195403075123,3.3940362623017064,1.2012994310125085,0.3441291658990971,0.24759325546970604,0.44460882775273736,0.7381428760210629,490.5775237144114,15.980455013986255,62.66537739725197,6.8656475242751815,48.92009877564221,68.07990320760362,34.68832590260067
15.06821243672468,0.28736026149853783,1.9829759938156835,0.2985970526302666,0.2423647031852465,0.37082120955816233,0.30536982543381525,941.3605098785063,10.141777765402114,40.294605460492306,38.64158291934646,0.9457563459197599,33.523910802500914,96.33383176366151
24.250563823667395,5.797679128472077,3.7480742090446544,0.4599895939190486,0.2962724393208348,0.25954253175557407,0.018551188911378275,906.8177678408919,14.459115609495615,83.19845922392012,7.363989129283512,37.49014052532302,36.31370096002185,36.37541240939734
26.276541246299594,6.98194676745362,3.589519280997986,0.3936963338787519,0.4536170476746785,0.7613882605225268,0.6591833467471545,1867.2629246414729,0.3020963900620788,98.4538243643338,59.941890950822334,97.55435058914291,44.50836255969419,46.77855637553481
20.04205593453702,7.968607366821559,3.1604173816492453,0.04202384497917913,0.7673154854071381,0.3506076151178796,0.16253252942221574,985.8835211405462,10.205399908261036,31.864355399391954,25.55227317372656,68.55195455103296,47.05902094162731,56.008389431256475
16.11841251386237,5.9374567321151455,0.18221940873867393,0.2946618966349934,0.7349510027817586,0.9121468864665503,0.786028833128874,1648.3828506126647,7.916783595283209,60.079437415624454,8.98237637301531,30.125315715654526,63.57816956560043,71.04991200219519
17.926069650606053,4.021417767722904,2.5452169015933,0.02136093960043679,0.8678486391878366,0.8393972744623429,0.3875897207080658,526.2981984249917,1.4177304582271326,9.783167380644395,95.20243598397096,83.61720577181165,80.87793916238086,14.90482567734872
23.21606614414523,6.98194676745362,3.589519280997986,0.3936963338787519,0.4536170476746785,0.8033993390216871,0.6591833467471545,1867.2629246414729,10.43661222081187,51.43520052101587,59.941890950822334,97.55435058914291,44.50836255969419,46.77855637553481
19.13625662809153,7.914627035859387,2.47275720952933,0.16122791066778766,0.039788675838249556,0.6158066086258571,0.819063647977586,962.0874726863291,5.682525182349375,6.220834983807159,73.89402006102631,46.60996451676461,40.376579067588054,44.81829928073709
27.764205882942292,1.5192731189137496,2.846453424278619,0.5782644964752821,0.3635285934461756,0.6821119346786854,0.7855039281202953,52.39931316948479,0.6300083493509091,52.3576455247182,72.85068863277033,14.368378117297775,64.84487154819605,29.84010579134594
19.494929540980046,9.530303484794349,0.23850317615143615,0.06116815535094061,0.32593662317145544,0.800030416251087,0.08088376822257311,1039.8435657727748,11.889791852308615,3.021766878378581,88.23726947875168,11.554339535704155,22.34397702633403,23.05689347267232
18.206967782654424,0.03692379914657143,1.2455972209440618,0.40562274799457076,0.9929098902829889,0.5970173285708932,0.9773968459276304,837.806379267512,8.950795165159132,45.72050636462414,6.3211546542140695,60.47442841146899,20.571996046277576,81.25881673810662
9.184795003419733,0.9824287909308131,0.4471006158957623,0.15398568316493622,0.1648361269474924,0.811300912887303,0.7909563937818178,322.4644226770014,3.922089852971109,84.60287451277974,44.295001379709944,82.38583056999498,67.38513856421812,15.461702824409157
19.13568442286976,6.033409785792444,3.299009874607127,0.10218817882263305,0.3146103237871684,0.5820034715018455,0.3620629238107078,1964.0262140297505,3.9089242108001656,83.86617228815011,10.62187253991256,45.78190195197482,57.59849418910046,27.079349528830363
15.079288078916846,7.475958658513869,0.14906240887351674,0.4726631751232583,0.106164427982056,0.4768768531245145,0.1639416529928892,11.413416772105734,6.546557460693439,98.28228374929485,61.38922206108852,30.59926526835333,80.7374855393269,12.289390756625174
37.35708194271714,8.02800661904726,4.134416949194973,0.8796432612590029,0.08614707112640074,0.45274983142758357,0.17352091842873696,525.7161767136992,6.311786020049244,85.5071674778347,42.77374114961169,84.74196037690929,15.64055633983081,59.97534994666707
10.979150585287723,5.717418480955547,0.9519123197150893,0.013050601485688158,0.48798290784462206,0.2989771815887016,0.11842412305293895,45.11708459361461,9.473465360052218,77.4561216516637,79.8627117227322,57.53792956526059,24.73484045228906,95.57111352603725
24.250563823667395,5.797679128472077,3.7480742090446544,0.4599895939190486,0.2962724393208348,0.25954253175557407,0.018551188911378275,906.8177678408919,14.459115609495615,83.19845922392012,7.363989129283512,37.49014052532302,36.31370096002185,36.37541240939734
