Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,36.25,81.25,83.75,101.50,299.50,0.00,0.00,0.00
1000,36.25,81.00,83.75,101.25,299.00,0.00,0.00,0.00
1500,36.25,81.00,83.75,101.00,298.50,27.73,0.01,0.24
2000,36.00,80.75,83.50,100.75,298.25,27.73,0.01,0.24
2500,36.00,80.75,83.50,100.50,297.75,27.66,0.01,0.23
3000,36.00,80.75,83.50,100.25,297.50,27.66,0.01,0.23
3500,35.75,80.50,83.50,100.00,297.00,28.05,0.01,0.20
4000,35.75,80.25,83.25,99.75,296.75,28.05,0.01,0.20
4500,35.75,80.25,83.25,99.50,296.25,27.46,0.01,0.23
5000,35.75,80.00,83.25,99.25,296.00,27.46,0.01,0.23
5500,35.50,80.00,83.00,99.00,295.50,28.81,0.01,0.22
6000,35.50,79.75,83.00,98.75,295.25,28.81,0.01,0.22
6500,35.50,79.75,83.00,98.75,294.75,27.23,0.01,0.21
7000,35.50,79.75,83.00,98.50,294.50,27.23,0.01,0.21
7500,35.25,79.75,82.75,98.25,294.00,27.64,0.01,0.21
8000,35.25,79.50,82.75,98.00,293.50,27.64,0.01,0.21
8500,35.25,79.50,82.75,98.00,293.25,27.29,0.01,0.20
9000,35.25,79.25,82.75,97.75,292.75,27.29,0.01,0.20
9500,35.25,79.25,82.75,97.50,292.25,28.33,0.01,0.25
10000,35.00,79.00,82.75,97.25,292.00,28.33,0.01,0.25
10500,35.00,79.00,82.50,97.25,291.75,28.03,0.01,0.21
11000,35.00,79.00,82.50,97.00,291.25,28.03,0.01,0.21
11500,35.00,78.75,82.50,96.75,291.00,27.51,0.01,0.21
12000,35.00,78.75,82.50,96.75,290.50,27.51,0.01,0.21
12500,35.00,78.75,82.50,96.50,290.00,27.59,0.01,0.20
13000,34.75,78.75,82.25,96.50,289.75,27.59,0.01,0.20
13500,34.75,78.50,82.25,96.25,289.25,28.73,0.01,0.20
14000,34.75,78.50,82.25,96.00,289.00,28.73,0.01,0.20
14500,34.75,78.25,82.25,96.00,288.50,28.73,0.01,0.22
15000,34.75,78.25,82.00,95.75,288.25,28.73,0.01,0.22
15500,34.75,78.25,82.00,95.75,287.75,28.41,0.01,0.22
16000,34.50,78.25,82.00,95.50,287.50,28.41,0.01,0.22
16500,34.50,78.00,82.00,95.25,287.00,28.57,0.01,0.21
17000,34.50,78.00,82.00,95.25,286.50,28.57,0.01,0.21
17500,34.50,78.00,81.75,95.00,286.00,27.06,0.01,0.20
18000,34.50,78.00,82.00,95.00,285.75,27.06,0.01,0.20
18500,34.50,77.75,81.75,94.75,285.50,27.93,0.01,0.19
19000,34.50,77.75,81.75,94.75,285.00,27.93,0.01,0.19
19500,34.50,77.75,81.75,94.50,284.50,27.75,0.01,0.20
20000,34.25,77.75,81.75,94.50,284.25,27.75,0.01,0.20
20500,34.25,77.75,81.50,94.25,283.75,27.76,0.01,0.21
21000,34.25,77.50,81.50,94.25,283.25,27.76,0.01,0.21
21500,34.25,77.50,81.50,94.00,283.00,27.60,0.01,0.20
22000,34.25,77.50,81.50,94.00,282.50,27.60,0.01,0.20
22500,34.25,77.50,81.50,93.75,282.25,27.50,0.01,0.18
23000,34.25,77.50,81.50,93.75,281.75,27.50,0.01,0.18
23500,34.25,77.25,81.50,93.50,281.50,27.92,0.01,0.24
24000,34.25,77.25,81.50,93.50,281.00,27.92,0.01,0.24
24500,34.25,77.25,81.25,93.50,280.50,26.79,0.01,0.22
25000,34.00,77.25,81.25,93.25,280.25,26.79,0.01,0.22
25500,34.00,77.00,81.25,93.25,279.75,27.26,0.01,0.20
26000,34.00,77.00,81.25,93.25,279.25,27.26,0.01,0.20
26500,34.00,77.00,81.25,93.00,279.00,27.72,0.01,0.18
