Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
6000,81.00,154.25,137.25,289.00,416.25,70.35,1.90,133.78
5500,81.00,153.75,137.50,290.25,416.50,70.35,1.90,133.78
6000,81.00,154.25,137.25,289.00,416.25,70.35,1.90,133.78
500,81.25,153.75,137.50,282.50,415.75,0.00,0.00,0.00
1000,81.25,154.00,137.50,281.50,415.50,0.00,0.00,0.00
1500,81.25,153.75,137.25,280.25,415.75,76.06,1.86,141.79
2000,81.25,154.25,137.25,279.00,415.50,76.06,1.86,141.79
2500,81.25,154.00,137.25,278.00,415.50,68.28,1.87,127.49
3000,81.25,154.25,137.25,277.00,415.25,68.28,1.87,127.49
3500,81.25,154.00,137.25,276.00,415.25,71.28,1.88,133.86
4000,81.50,154.25,137.25,275.00,415.00,71.28,1.88,133.86
4500,81.50,154.25,137.25,274.25,415.00,72.77,1.85,134.92
5000,81.50,154.25,137.25,273.50,415.00,72.77,1.85,134.92
5500,81.75,154.25,137.25,272.50,414.75,72.33,1.90,137.47
6000,81.50,154.25,137.25,272.00,414.75,72.33,1.90,137.47
6500,81.50,154.25,137.25,271.25,414.50,75.02,1.88,141.16
7000,81.75,154.50,137.25,270.50,414.50,75.02,1.88,141.16
7500,81.75,154.50,137.25,269.75,414.50,73.18,1.84,135.01
8000,81.75,154.50,137.25,269.25,414.50,73.18,1.84,135.01
8500,81.75,154.50,137.25,268.50,414.25,75.31,1.87,141.09
9000,81.75,154.50,137.25,267.75,414.25,75.31,1.87,141.09
9500,81.75,154.75,137.50,267.00,414.25,67.99,1.85,125.50
10000,81.75,154.50,137.25,266.50,414.00,67.99,1.85,125.50
10500,82.00,155.00,137.25,265.75,414.00,69.82,1.84,128.66
11000,82.00,154.75,137.25,265.25,413.75,69.82,1.84,128.66
11500,82.00,154.75,137.25,264.50,413.75,71.14,1.87,133.13
12000,82.00,154.75,137.25,263.75,413.50,71.14,1.87,133.13
12500,82.00,155.00,137.25,263.00,413.50,73.71,1.85,136.59
13000,82.00,154.75,137.25,262.75,413.50,73.71,1.85,136.59
13500,82.25,155.00,137.25,262.00,413.25,68.29,1.86,127.18
14000,82.25,154.75,137.25,261.25,413.25,68.29,1.86,127.18
14500,82.25,155.25,137.25,260.75,413.25,70.26,1.88,131.86
15000,82.25,154.75,137.25,260.00,412.75,70.26,1.88,131.86
