Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,128.00,225.75,189.50,247.25,425.25,0.00,0.00,0.00
1000,128.25,226.25,189.75,247.50,425.50,0.00,0.00,0.00
1500,128.50,226.50,190.00,247.75,425.75,109.04,0.97,106.28
2000,129.00,227.00,190.25,247.75,425.75,109.04,0.97,106.28
2500,129.25,227.25,190.25,248.00,425.75,108.64,0.98,106.92
3000,129.50,227.75,190.50,248.00,426.00,108.64,0.98,106.92
3500,130.00,228.00,190.75,248.25,426.25,110.21,1.03,113.84
4000,130.25,228.50,190.75,248.25,426.25,110.21,1.03,113.84
4500,130.50,229.00,191.00,248.50,426.25,107.52,1.04,111.86
5000,130.75,229.25,191.25,248.75,426.50,107.52,1.04,111.86
5500,131.00,229.75,191.25,248.75,426.50,111.63,1.06,117.80
6000,131.50,230.00,191.50,249.00,426.75,111.63,1.06,117.80
6500,131.75,230.25,191.75,249.25,426.75,107.93,1.05,113.63
7000,132.00,230.75,192.00,249.25,426.75,107.93,1.05,113.63
7500,132.25,231.00,192.00,249.50,427.00,108.56,1.05,113.80
8000,132.75,231.50,192.25,249.50,427.00,108.56,1.05,113.80
8500,133.00,231.75,192.25,249.75,427.00,111.87,1.23,137.31
9000,133.25,232.25,192.50,249.75,427.25,111.87,1.23,137.31
9500,133.50,232.50,192.50,250.00,427.25,106.67,1.28,136.02
10000,133.75,232.75,192.75,250.25,427.25,106.67,1.28,136.02
10500,134.00,233.00,193.00,250.25,427.50,112.31,1.26,141.21
11000,134.25,233.50,193.25,250.50,427.50,112.31,1.26,141.21
11500,134.75,233.75,193.25,250.50,427.75,96.96,1.01,97.78
12000,135.00,234.00,193.50,250.75,427.50,96.96,1.01,97.78
12500,135.25,234.00,193.50,250.75,427.25,66.14,0.68,45.20
13000,135.50,234.25,193.50,250.75,426.75,66.14,0.68,45.20
13500,135.50,234.25,193.50,250.75,425.75,51.00,0.50,25.62
14000,135.50,234.00,193.25,250.25,424.50,51.00,0.50,25.62
14500,135.50,234.00,193.00,249.75,422.75,51.72,0.55,28.29
15000,135.50,233.50,192.50,249.00,421.00,51.72,0.55,28.29
15500,135.50,233.00,192.00,248.00,419.00,26.53,0.19,5.15
16000,135.50,232.50,191.50,246.75,416.50,26.53,0.19,5.15
16500,135.25,231.75,190.75,245.25,414.00,16.04,0.01,0.12
17000,134.75,231.00,189.75,243.50,411.50,16.04,0.01,0.12
17500,134.25,230.25,188.75,241.50,409.00,16.08,0.01,0.12
18000,133.75,229.25,188.00,239.75,406.00,16.08,0.01,0.12
18500,133.50,228.00,186.75,237.50,403.00,16.19,0.01,0.14
19000,132.75,227.00,185.50,235.00,400.25,16.19,0.01,0.14
19500,132.25,226.00,184.00,232.50,397.75,16.56,0.01,0.12
20000,131.50,224.75,182.75,230.25,395.00,16.56,0.01,0.12
20500,130.75,223.25,181.25,227.50,392.25,16.08,0.01,0.14
21000,130.00,222.00,179.75,225.00,390.00,16.08,0.01,0.14
21500,129.25,220.75,178.50,222.50,387.25,16.26,0.01,0.13
22000,128.25,219.50,177.00,220.00,384.75,16.26,0.01,0.13
22500,127.50,218.00,175.50,217.25,382.25,16.22,0.01,0.11
23000,126.75,216.50,173.75,214.75,380.25,16.22,0.01,0.11
23500,125.75,215.25,172.50,212.50,378.00,16.10,0.01,0.13
24000,125.00,214.00,171.00,210.00,375.50,16.10,0.01,0.13
24500,124.00,212.50,169.50,207.50,373.50,15.81,0.01,0.11
25000,123.25,211.00,168.00,205.75,371.75,15.81,0.01,0.11
25500,122.50,209.75,166.75,203.50,369.75,16.33,0.01,0.13
