Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
66000,29.50,35.00,37.00,36.75,35.75
66500,29.50,35.00,37.00,36.75,35.75
67000,29.50,35.00,37.00,36.75,35.75
67500,29.50,35.00,37.00,36.75,35.75
68000,29.50,35.00,37.00,37.00,35.75
68500,29.50,35.00,37.00,36.75,35.75
69000,29.50,35.00,37.00,36.75,35.75
69500,29.50,35.00,37.00,36.75,35.75
70000,29.75,35.00,37.00,36.75,35.75
70500,29.50,35.00,37.00,36.75,35.75
71000,29.50,35.00,37.00,36.75,35.75
71500,29.50,35.00,37.00,36.75,35.75
72000,29.50,35.00,37.00,36.75,35.75
72500,29.50,35.00,37.00,36.75,35.75
73000,29.50,35.00,36.75,36.75,35.75
73500,29.50,35.00,36.75,36.75,35.75
74000,29.50,35.00,37.00,36.75,35.75
74500,29.75,35.00,37.00,36.75,35.75
75000,29.50,35.00,37.00,36.75,35.75
75500,29.50,35.00,36.75,36.75,35.75
76000,29.50,35.00,37.00,36.75,35.75
76500,29.50,35.00,37.00,36.75,35.75
77000,29.50,35.00,36.75,36.75,35.75
77500,29.75,35.00,37.00,36.75,35.75
78000,29.75,35.00,37.00,36.75,35.75
78500,29.50,35.00,37.00,36.75,35.75
79000,29.50,35.00,36.75,36.75,35.75
79500,29.50,35.00,37.00,36.75,35.75
80000,29.50,35.00,36.75,36.75,35.75
80500,29.50,35.00,37.00,36.75,35.75
81000,29.50,35.00,36.75,36.75,35.75
81500,29.50,35.00,36.75,36.75,35.75
82000,29.50,35.00,36.75,36.75,35.75
82500,29.50,35.00,37.00,36.75,35.75
83000,29.75,35.00,36.75,36.75,35.75
83500,29.50,35.00,36.75,36.75,35.75
84000,29.50,35.00,36.75,36.75,35.75
84500,29.50,35.00,37.00,36.75,35.75
85000,29.50,35.00,36.75,36.75,35.75
85500,29.50,35.00,36.75,36.75,35.75
86000,29.50,35.00,36.75,36.75,35.75
86500,29.50,35.00,36.75,36.75,35.75
87000,29.50,35.00,36.75,36.75,35.75
87500,29.50,35.00,37.00,36.75,35.75
88000,29.50,35.00,36.75,36.75,35.75
88500,29.50,35.00,36.75,36.75,35.75
89000,29.50,35.00,36.75,36.75,35.75
89500,29.50,35.00,36.75,36.75,35.75
90000,29.50,35.00,36.75,36.75,35.75
90500,29.50,35.00,36.75,36.75,35.50
91000,29.50,35.00,36.75,36.75,35.75
91500,29.50,35.00,36.75,36.75,35.75
92000,29.50,35.00,36.75,36.75,35.75
92500,29.50,35.00,36.75,36.75,35.75
93000,29.50,35.00,36.75,36.75,35.50
93500,29.50,35.00,36.75,36.75,35.75
94000,29.75,35.00,36.75,36.75,35.75
94500,29.50,35.00,36.75,36.75,35.50
95000,29.50,35.00,36.75,36.50,35.75
95500,29.50,35.00,36.75,36.75,35.75
96000,29.50,35.00,36.75,36.50,35.50
96500,29.50,35.00,36.75,36.75,35.75
97000,29.50,35.00,36.75,36.75,35.75
97500,29.50,35.00,36.75,36.75,35.75
98000,29.50,35.00,36.75,36.75,35.50
98500,29.50,35.00,36.75,36.75,35.75
99000,29.50,35.00,36.75,36.75,35.75
99500,29.50,35.00,36.75,36.75,35.75
100000,29.50,35.00,36.75,36.75,35.75
100500,29.50,35.00,36.75,36.50,35.75
101000,29.50,35.00,36.75,36.75,35.50
101500,29.50,35.00,36.75,36.50,35.50
102000,29.50,35.00,36.75,36.50,35.75
102500,29.50,35.00,36.75,36.50,35.50
103000,29.50,35.00,36.75,36.50,35.50
103500,29.50,35.00,36.75,36.75,35.50
104000,29.50,35.00,36.75,36.50,35.50
104500,29.50,35.00,36.75,36.75,35.75
105000,29.50,35.00,36.75,36.75,35.50
105500,29.50,35.00,36.75,36.50,35.50
106000,29.50,35.00,36.75,36.50,35.50
106500,29.50,35.00,36.75,36.75,35.50
107000,29.50,35.00,36.75,36.75,35.50
107500,29.50,35.00,36.75,36.75,35.50
108000,29.50,35.00,36.75,36.50,35.50
108500,29.50,35.00,36.75,36.50,35.50
109000,29.50,35.00,36.75,36.50,35.50
109500,29.50,35.00,36.75,36.50,35.50
110000,29.50,35.00,36.75,36.50,35.50
110500,29.50,35.00,36.75,36.50,35.50
111000,29.50,35.00,36.75,36.50,35.50
111500,29.50,35.00,36.75,36.75,35.50
112000,29.50,35.00,36.75,36.50,35.50
112500,29.50,35.00,36.75,36.50,35.50
113000,29.50,35.00,36.75,36.50,35.50
113500,29.50,35.00,36.75,36.50,35.50
114000,29.50,35.00,36.75,36.50,35.50
114500,29.50,35.00,36.75,36.50,35.50
115000,29.50,35.00,36.75,36.75,35.50
115500,29.50,35.00,36.75,36.50,35.50
116000,29.50,35.00,36.75,36.50,35.50
116500,29.50,35.00,36.75,36.50,35.50
117000,29.50,35.00,36.75,36.75,35.50
117500,29.50,35.00,36.75,36.50,35.50
