Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
11500,18.75,20.00,20.00,19.25,20.00
12000,18.75,20.00,20.00,19.25,20.00
11000,18.75,20.00,20.00,19.25,20.00
11500,18.75,20.00,20.00,19.25,20.00
12000,18.75,20.00,20.00,19.25,20.00
500,18.75,20.00,20.00,19.25,20.00
1000,18.75,20.00,19.75,19.25,20.00
1500,18.75,20.00,20.00,19.25,20.00
2000,18.75,19.75,20.00,19.25,20.00
2500,18.75,20.00,20.00,19.25,20.00
3000,18.75,20.00,20.00,19.25,20.00
3500,18.75,20.00,19.75,19.25,20.00
4000,18.75,20.00,19.75,19.25,20.00
4500,18.75,20.00,20.00,19.25,19.75
5000,18.75,19.75,20.00,19.50,19.75
5500,18.75,20.00,20.00,19.25,20.00
6000,18.75,20.00,20.00,19.25,20.00
6500,18.75,20.00,20.00,19.25,20.00
7000,18.75,20.00,20.00,19.25,20.00
7500,18.75,19.75,20.00,19.25,20.00
8000,18.75,20.00,20.00,19.25,19.75
8500,18.75,20.00,20.00,19.25,20.00
9000,18.75,20.00,20.00,19.25,20.00
9500,18.75,20.00,20.00,19.25,20.00
10000,18.75,20.00,20.00,19.25,20.00
10500,18.75,20.00,20.00,19.25,19.75
11000,18.75,20.00,19.75,19.25,20.00
11500,18.75,20.00,20.00,19.25,20.00
12000,18.75,20.00,20.00,19.25,20.00
12500,18.75,20.00,20.00,19.25,20.00
