Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,105.00,192.00,257.00,277.75,177.25,0.00,0.00,0.00
1000,105.00,191.75,257.00,277.50,177.00,0.00,0.00,0.00
1500,105.00,191.75,257.00,277.50,176.75,15.83,0.01,0.13
2000,105.00,191.75,257.00,277.50,176.50,15.83,0.01,0.13
2500,105.00,191.75,256.75,277.25,176.25,16.24,0.01,0.13
3000,105.00,191.50,256.75,277.25,176.00,16.24,0.01,0.13
3500,105.00,191.50,256.75,277.00,175.50,15.45,0.01,0.12
4000,105.00,191.50,256.75,277.00,175.50,15.45,0.01,0.12
