Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
500,25.25,28.25,29.25,28.50,27.25
1000,25.25,28.25,29.25,28.50,27.25
1500,25.25,28.00,29.00,28.50,27.25
2000,25.25,28.00,29.25,28.50,27.25
2500,25.25,28.00,29.25,28.50,27.25
3000,25.25,28.25,29.00,28.50,27.25
3500,25.25,28.00,29.25,28.50,27.25
4000,25.25,28.25,29.25,28.50,27.25
4500,25.25,28.25,29.00,28.50,27.25
5000,25.25,28.25,29.00,28.50,27.25
5500,25.25,28.25,29.25,28.50,27.25
6000,25.25,28.25,29.00,28.50,27.25
6500,25.25,28.25,29.00,28.50,27.25
7000,25.25,28.25,29.25,28.25,27.25
7500,25.25,28.25,29.25,28.50,27.25
8000,25.25,28.25,29.00,28.50,27.25
8500,25.25,28.25,29.00,28.50,27.25
9000,25.25,28.25,29.25,28.50,27.25
9500,25.25,28.25,29.25,28.50,27.25
10000,25.25,28.25,29.25,28.25,27.25
10500,25.25,28.25,29.25,28.50,27.25
11000,25.25,28.25,29.00,28.50,27.25
11500,25.50,28.25,29.00,28.25,27.25
12000,25.50,28.25,29.00,28.50,27.25
12500,25.25,28.25,29.00,28.25,27.25
13000,25.25,28.25,29.00,28.25,27.25
13500,25.50,28.25,29.25,28.25,27.00
14000,25.50,28.25,29.00,28.25,27.25
14500,25.25,28.25,29.00,28.25,27.00
15000,25.50,28.25,29.00,28.25,27.25
15500,25.50,28.25,29.25,28.25,27.00
16000,25.50,28.25,29.25,28.25,27.25
16500,25.50,28.25,29.25,28.25,27.00
17000,25.50,28.25,29.25,28.25,27.00
17500,25.50,28.25,29.00,28.25,27.00
18000,25.50,28.25,29.00,28.50,27.00
18500,25.50,28.25,29.25,28.25,27.00
19000,25.50,28.25,29.00,28.25,27.00
19500,25.50,28.25,29.00,28.25,27.00
20000,25.50,28.25,29.00,28.25,27.00
20500,25.50,28.25,29.00,28.25,27.00
21000,25.50,28.25,29.25,28.25,27.00
21500,25.50,28.25,29.25,28.25,27.00
22000,25.50,28.25,29.25,28.25,27.00
22500,25.50,28.25,29.25,28.25,27.00
23000,25.50,28.25,29.00,28.25,27.00
23500,25.50,28.25,29.00,28.25,27.00
24000,25.50,28.25,29.00,28.25,27.00
24500,25.50,28.25,29.00,28.25,27.00
25000,25.50,28.25,29.00,28.25,27.00
25500,25.50,28.25,29.25,28.25,27.00
26000,25.75,28.25,29.00,28.25,27.00
26500,25.75,28.25,29.25,28.25,27.00
27000,25.50,28.25,29.00,28.25,27.00
27500,25.50,28.25,29.00,28.25,27.00
28000,25.75,28.25,29.00,28.25,27.00
28500,25.75,28.25,29.00,28.25,27.00
29000,25.50,28.25,29.25,28.25,27.00
29500,25.50,28.25,29.25,28.25,27.00
30000,25.75,28.50,29.25,28.25,27.00
30500,25.75,28.25,29.00,28.25,27.00
31000,25.75,28.25,29.00,28.25,27.00
31500,25.50,28.25,29.25,28.25,26.75
32000,25.75,28.50,29.00,28.25,27.00
32500,25.75,28.25,29.00,28.25,27.00
33000,25.75,28.25,29.00,28.25,27.00
33500,25.75,28.25,29.00,28.25,26.75
34000,25.75,28.50,29.25,28.25,26.75
34500,25.75,28.25,29.25,28.25,26.75
35000,25.75,28.25,29.00,28.25,27.00
35500,25.75,28.50,29.00,28.25,26.75
36000,25.75,28.50,29.00,28.00,26.75
36500,25.75,28.50,29.00,28.25,26.75
37000,25.75,28.25,29.25,28.25,26.75
37500,25.75,28.50,29.00,28.00,26.75
38000,25.75,28.50,29.00,28.00,26.75
38500,25.75,28.25,29.00,28.00,26.75
39000,25.75,28.50,29.00,28.00,26.75
39500,25.75,28.50,29.00,28.25,26.75
40000,25.75,28.25,29.25,28.00,26.75
40500,25.75,28.50,29.00,28.00,26.75
41000,25.75,28.50,29.00,28.00,26.75
41500,25.75,28.50,29.00,28.00,26.75
42000,25.75,28.50,29.00,28.25,26.75
42500,25.75,28.50,29.00,28.00,26.75
43000,25.75,28.50,29.00,28.00,26.75
43500,25.75,28.50,29.00,28.00,26.75
44000,25.75,28.50,29.00,28.00,26.75
44500,25.75,28.50,29.00,28.00,26.75
45000,26.00,28.50,29.00,28.00,26.75
45500,26.00,28.50,29.00,28.00,26.75
46000,26.00,28.50,29.00,28.00,26.75
46500,26.00,28.50,29.00,28.00,26.75
47000,25.75,28.50,29.00,28.00,26.75
47500,26.00,28.50,29.00,28.00,26.50
48000,26.00,28.50,29.00,28.00,26.75
48500,26.00,28.50,29.00,28.00,26.75
49000,26.00,28.50,29.00,28.00,26.75
49500,26.00,28.50,29.00,28.00,26.75
50000,26.00,28.50,29.00,28.00,26.50
50500,26.00,28.50,29.00,28.00,26.50
51000,26.00,28.50,29.00,28.00,26.50
51500,26.00,28.50,29.00,28.00,26.50
52000,26.00,28.50,29.00,28.00,26.50
52500,26.00,28.50,29.00,28.00,26.50
53000,26.00,28.50,29.00,28.00,26.50
53500,26.00,28.50,29.00,28.00,26.50
54000,26.00,28.50,29.00,28.00,26.50
54500,26.00,28.50,29.00,28.00,26.50
55000,26.00,28.50,29.00,28.00,26.50
55500,26.00,28.50,29.00,28.00,26.50
56000,26.00,28.50,29.00,28.00,26.50
56500,26.00,28.50,29.00,28.00,26.50
57000,26.00,28.50,29.00,28.00,26.50
57500,26.00,28.50,29.00,28.00,26.50
58000,26.00,28.50,29.00,28.00,26.50
58500,26.00,28.50,29.00,28.00,26.50
59000,26.00,28.50,29.00,27.75,26.50
59500,26.00,28.50,29.00,28.00,26.50
60000,26.00,28.50,29.00,28.00,26.50
60500,26.00,28.50,29.00,28.00,26.50
61000,26.00,28.50,29.00,28.00,26.50
61500,26.00,28.50,29.00,28.00,26.50
62000,26.00,28.50,29.00,28.00,26.50
62500,26.00,28.50,29.00,28.00,26.50
63000,26.25,28.50,29.00,27.75,26.50
63500,26.00,28.50,29.00,28.00,26.50
64000,26.25,28.50,29.00,28.00,26.50
64500,26.25,28.50,29.00,27.75,26.50
65000,26.25,28.50,29.00,28.00,26.50
65500,26.00,28.50,29.00,27.75,26.50
66000,26.25,28.50,29.00,28.00,26.50
66500,26.25,28.50,29.00,27.75,26.50
67000,26.25,28.50,29.00,28.00,26.50
67500,26.25,28.50,29.00,27.75,26.50
68000,26.25,28.50,29.00,27.75,26.50
68500,26.25,28.50,29.00,27.75,26.50
69000,26.25,28.50,29.00,27.75,26.50
69500,26.25,28.50,29.00,27.75,26.50
70000,26.25,28.50,29.00,27.75,26.50
70500,26.25,28.50,29.00,27.75,26.50
71000,26.25,28.50,29.00,27.75,26.50
71500,26.25,28.50,29.00,27.75,26.50
72000,26.25,28.50,29.00,27.75,26.50
72500,26.25,28.50,29.00,27.75,26.50
73000,26.25,28.50,29.00,27.75,26.50
73500,26.25,28.50,29.00,27.75,26.50
74000,26.25,28.50,29.00,27.75,26.50
74500,26.25,28.50,29.00,27.75,26.50
75000,26.25,28.50,29.00,27.75,26.50
75500,26.25,28.75,29.00,27.75,26.50
76000,26.25,28.50,29.00,27.75,26.50
76500,26.25,28.50,29.00,27.75,26.50
77000,26.25,28.50,29.00,27.75,26.50
77500,26.25,28.75,29.00,27.75,26.50
78000,26.25,28.75,29.00,27.75,26.50
78500,26.25,28.75,29.00,27.75,26.50
79000,26.25,28.75,29.00,27.75,26.50
79500,26.25,28.75,29.00,27.75,26.50
80000,26.25,28.50,29.00,27.75,26.50
80500,26.25,28.75,29.00,27.50,26.50
81000,26.50,28.75,29.00,27.75,26.50
81500,26.25,28.75,29.00,27.75,26.50
82000,26.25,28.75,29.00,27.75,26.25
82500,26.50,28.75,29.00,27.75,26.50
83000,26.50,28.75,29.00,27.50,26.25
83500,26.50,28.75,29.00,27.75,26.50
84000,26.25,28.50,29.00,27.75,26.50
84500,26.50,28.75,29.00,27.75,26.25
85000,26.50,28.75,29.00,27.50,26.50
85500,26.50,28.75,29.00,27.75,26.50
86000,26.50,28.75,29.00,27.75,26.50
86500,26.50,28.75,29.00,27.75,26.25
87000,26.50,28.75,29.00,27.75,26.50
87500,26.50,28.75,29.00,27.75,26.50
88000,26.50,28.75,29.00,27.75,26.25
88500,26.50,28.75,29.00,27.75,26.50
89000,26.50,28.75,29.00,27.50,26.25
89500,26.50,28.75,29.00,27.50,26.50
90000,26.50,28.75,29.00,27.50,26.25
90500,26.50,28.75,29.00,27.50,26.25
91000,26.50,28.75,29.00,27.50,26.25
91500,26.50,28.75,29.00,27.50,26.50
92000,26.50,28.75,29.00,27.50,26.50
92500,26.50,28.75,29.00,27.50,26.25
93000,26.50,28.50,29.00,27.75,26.50
93500,26.50,28.75,29.00,27.50,26.25
94000,26.50,28.75,29.00,27.50,26.50
94500,26.50,28.75,29.00,27.50,26.25
95000,26.50,28.75,29.00,27.50,26.25
95500,26.50,28.75,29.00,27.50,26.25
96000,26.50,28.75,29.00,27.50,26.50
96500,26.50,28.75,29.00,27.50,26.25
97000,26.50,28.75,29.00,27.50,26.25
97500,26.50,28.75,29.00,27.50,26.25
98000,26.50,28.75,29.00,27.50,26.50
98500,26.50,28.75,29.00,27.50,26.25
99000,26.50,28.75,29.00,27.50,26.25
99500,26.50,28.75,29.00,27.50,26.25
100000,26.50,28.75,29.00,27.50,26.25
100500,26.50,28.75,29.00,27.50,26.25
101000,26.75,28.75,29.00,27.50,26.50
101500,26.50,28.75,29.00,27.50,26.25
102000,26.50,28.75,29.00,27.50,26.25
102500,26.50,28.75,29.00,27.50,26.25
103000,26.50,28.75,29.00,27.50,26.25
103500,26.50,28.75,29.00,27.50,26.25
104000,26.50,28.75,29.00,27.50,26.25
104500,26.50,28.75,29.00,27.25,26.50
105000,26.75,28.75,29.00,27.50,26.50
105500,26.75,28.75,29.00,27.50,26.25
106000,26.50,28.75,29.00,27.50,26.25
106500,26.75,28.75,29.00,27.50,26.50
107000,26.75,28.75,29.00,27.50,26.25
107500,26.75,28.75,29.00,27.50,26.25
108000,26.75,28.75,29.00,27.50,26.25
108500,26.75,28.75,29.00,27.50,26.25
109000,26.75,28.75,29.00,27.50,26.50
109500,26.75,28.75,29.00,27.50,26.25
110000,26.75,28.75,29.00,27.50,26.25
110500,26.75,28.75,29.00,27.50,26.25
111000,26.75,28.75,29.00,27.25,26.25
111500,26.75,28.75,29.00,27.50,26.50
112000,26.75,28.75,29.00,27.50,26.25
112500,26.75,28.75,29.00,27.50,26.25
113000,26.75,28.75,29.00,27.25,26.25
113500,26.75,28.75,29.00,27.25,26.25
114000,26.75,28.75,29.00,27.25,26.25
114500,26.75,28.75,29.00,27.25,26.25
115000,26.75,28.75,29.00,27.50,26.25
115500,26.75,28.75,29.00,27.50,26.25
116000,26.75,28.75,29.00,27.25,26.25
116500,26.75,28.75,29.00,27.25,26.25
117000,26.75,28.75,29.00,27.50,26.25
117500,26.75,28.75,29.00,27.25,26.25
118000,26.75,28.75,29.00,27.25,26.25
118500,26.75,28.75,29.00,27.25,26.25
119000,26.75,28.75,29.00,27.25,26.25
119500,26.75,28.75,29.00,27.25,26.25
120000,26.75,28.75,29.00,27.25,26.25
120500,26.75,28.75,29.00,27.25,26.25
121000,26.75,28.75,29.00,27.50,26.25
121500,26.75,28.75,29.00,27.25,26.25
122000,26.75,28.75,29.00,27.25,26.25
122500,27.00,28.75,29.00,27.25,26.25
123000,26.75,28.75,28.75,27.25,26.25
123500,26.75,28.75,29.00,27.25,26.25
124000,26.75,28.75,28.75,27.25,26.25
124500,26.75,28.75,28.75,27.25,26.25
125000,26.75,28.75,29.00,27.25,26.25
125500,26.75,28.75,28.75,27.25,26.25
126000,26.75,28.75,28.75,27.25,26.25
126500,26.75,28.75,28.75,27.25,26.25
127000,27.00,28.75,28.75,27.25,26.25
127500,27.00,28.75,28.75,27.25,26.25
128000,27.00,28.75,28.75,27.25,26.25
128500,27.00,28.75,28.75,27.25,26.25
129000,26.75,28.75,28.75,27.25,26.25
129500,27.00,28.75,28.75,27.25,26.25
130000,26.75,28.75,28.75,27.25,26.25
130500,26.75,28.75,28.75,27.25,26.25
131000,26.75,28.75,28.75,27.25,26.25
131500,27.00,28.75,29.00,27.25,26.25
132000,27.00,28.75,28.75,27.25,26.25
132500,27.00,28.75,28.75,27.25,26.25
133000,27.00,28.75,28.75,27.25,26.25
133500,27.00,28.75,28.75,27.25,26.25
134000,27.00,28.75,28.75,27.25,26.25
134500,27.00,28.75,28.75,27.25,26.25
135000,27.00,28.75,28.75,27.25,26.25
135500,27.00,28.75,29.00,27.25,26.25
136000,27.00,28.75,28.75,27.25,26.25
136500,27.00,28.75,28.75,27.25,26.25
137000,27.00,28.75,28.75,27.25,26.25
137500,27.00,28.75,28.75,27.25,26.25
138000,27.00,28.75,28.75,27.25,26.25
138500,27.00,28.75,28.75,27.25,26.25
139000,27.00,28.75,28.75,27.25,26.25
139500,27.00,28.75,28.75,27.25,26.25
140000,27.00,28.75,28.75,27.25,26.25
140500,27.00,28.75,28.75,27.25,26.25
141000,27.00,28.75,28.75,27.25,26.25
141500,27.00,28.75,28.75,27.25,26.25
142000,27.00,28.75,28.75,27.25,26.25
142500,27.00,28.75,28.75,27.25,26.25
143000,27.00,28.75,28.75,27.25,26.25
143500,27.00,28.75,28.75,27.25,26.25
144000,27.00,28.75,28.75,27.25,26.25
144500,27.00,28.75,28.75,27.25,26.25
145000,27.00,28.75,28.75,27.25,26.25
145500,27.00,28.75,28.75,27.25,26.25
146000,27.00,28.75,28.75,27.25,26.25
146500,27.00,28.75,28.75,27.25,26.25
147000,27.00,28.75,28.75,27.25,26.25
147500,27.00,28.75,28.75,27.25,26.25
148000,27.00,28.75,28.75,27.25,26.25
148500,27.00,28.75,28.75,27.25,26.25
149000,27.00,28.75,28.75,27.25,26.25
149500,27.00,28.75,28.75,27.25,26.25
150000,27.00,28.75,28.75,27.25,26.25
150500,27.00,28.75,28.75,27.25,26.25
151000,27.00,28.75,28.75,27.25,26.25
151500,27.00,28.75,28.75,27.25,26.25
152000,27.00,28.75,28.75,27.25,26.25
152500,27.00,28.75,28.75,27.25,26.25
153000,27.00,28.75,28.75,27.25,26.25
153500,27.00,28.75,28.75,27.25,26.25
154000,27.00,28.75,28.75,27.25,26.25
154500,27.00,28.75,28.75,27.25,26.25
155000,27.00,28.75,28.75,27.25,26.25
155500,27.00,28.75,28.75,27.25,26.25
