loss,insulation_to_air_overall_heat_transfer_coefficient_to_environment,pipe_endcaps_to_air_thermal_conductance,heater_weight_1,heater_weight_2,fluid_to_steel_pipe_convective_heat_transfer_coefficient,TC1_thermal_resistance,TC2_thermal_resistance,TC3_thermal_resistance,TC4_thermal_resistance,TC5_thermal_resistance
26.649753312179463,3.609207068016861,3.331682078060936,0.15783095407399822,0.14942641880175164,1294.967541546481,15.299346442376132,24.501377555093,9.091902251922702,4.139432817921247,14.890185507178213
33.33901079568274,6.312439129065952,0.8313626365639808,0.6527026174036888,0.23004190113946202,1098.6861394665139,7.34604124188321,5.351534742216335,18.54183630370401,3.0430407492859763,6.9934054498489555
23.832190964915803,0.1805882466046246,1.7138101308862275,0.21268881636857587,0.032944032171590296,626.6451409373011,6.185037667993365,12.730752600988268,17.686895654752924,24.934913398563694,24.528386147721292
38.67800198653984,4.214939530075893,4.919629341260783,0.7420780398333978,0.11917486256931775,850.7778123427856,10.594714271540377,12.594997080414878,20.144777099981745,1.019711206250076,9.022912717480082
45.247320689710556,6.618554769803483,1.6843611613941984,0.23862477602204538,0.9422909322055424,1962.8107200047145,10.955973416849554,4.2418530084358625,4.852423795629396,14.973454721722563,6.572686655427287
28.511576990376206,6.980876178067268,2.3129656543518875,0.5277787044699114,0.3280842410502775,1521.3682466670648,13.766915017469762,7.985917023113473,13.01519400088292,13.272054640111726,13.202950871816434
43.550252062801846,8.0078629273229,0.13062735879406753,0.8293060749194258,0.24220157255047597,836.1873138571092,0.8881922973802825,22.68296823350461,13.912450319870468,21.903864571876586,20.890035290534456
33.82254544214616,2.9905922087569805,2.7397357120371684,0.5203687582265386,0.6168876062391884,1402.7240932664058,16.457789580025064,15.524624566115026,21.635523459800353,3.4757185883386867,3.322999517169772
22.913506335046197,3.9734409862004667,4.548443678986055,0.19169270971891625,0.5414910424378465,623.3006602864252,21.792119313389588,0.8867650373742595,15.936619277246601,1.6744699194535022,13.5243728765373
28.69974443336034,1.2666885152069605,3.120863646196759,0.6070673640678839,0.4180210551503163,454.527574703561,7.953280280408798,20.355726247720675,2.411920399683959,8.4663780681476,20.02671576541559
22.82561651477622,1.8563435894207805,2.4911554540943603,0.44982539554794254,0.11174217372865604,132.62242075730632,21.28579008847681,18.191717882051098,10.946185229885801,22.524013961542607,17.242138281101
23.832190964915803,0.1805882466046246,1.7138101308862275,0.21268881636857587,0.032944032171590296,626.6451409373011,6.185037667993365,12.730752600988268,17.686895654752924,24.934913398563694,24.528386147721292
