loss,overall_heat_transfer_coefficient_to_environment
2471.382664586035,0.595
2475.4459938520413,1.4083059965202036
2485.1927495704617,4.819798458657484
2484.247524990993,9.888637947664915
2484.250009238555,9.948821610974782
2484.2524934885764,9.94997497275386
1.0e10,5.493645782753085
90.53019649427134,4.46691802489989
1.711430122544218,0.5
25.672793090808916,6.404827264260552
147.01055530412629,7.153938211130451
1.6957282695288616,2.2022029673851273
1590.671899559908,5.965823901435492
2219.313202498873,9.938622271421963
2837.540147833448,7.121790108098808
1.6451054220485382,5.2233492991698105
4.931821868080026,1.903165835970126
1.6451054220485382,5.2233492991698105
428.61922299722283,2.801490915236454
1.5566217336825756,4.737493714723974
90.53019649427134,4.46691802489989
25.672793090808916,6.404827264260552
1.5909996917352438,4.660167347926075
428.61922299722283,2.801490915236454
5.571185315548618,2.994304382836402
1.7148598718077743,7.67145720348799
1.5909996917352438,4.660167347926075
4.931821868080026,1.903165835970126
3124.306011412614,6.216735384948709
90.53019649427134,4.46691802489989
4.931821868080026,1.903165835970126
1.5909996917352438,4.660167347926075
1.5566217336825756,4.737493714723974
4.931821868080026,1.903165835970126
428.61922299722283,2.801490915236454
90.53019649427134,4.46691802489989
2.168515677386146,6.060550045506271
3124.306011412614,6.216735384948709
