Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,168.25,315.00,369.00,418.75,283.50,0.00,0.00,0.00
1000,168.25,316.00,370.25,420.00,285.00,0.00,0.00,0.00
1500,168.25,317.00,371.25,421.50,286.25,115.63,1.39,160.39
2000,168.25,318.00,372.25,422.75,287.75,115.63,1.39,160.39
2500,168.25,318.75,373.50,424.00,289.00,116.12,1.40,163.02
3000,168.50,319.75,374.75,425.25,290.50,116.12,1.40,163.02
3500,168.50,320.75,375.75,426.75,291.75,116.55,1.40,163.01
4000,168.50,321.50,376.50,427.75,293.00,116.55,1.40,163.01
4500,168.75,322.25,377.75,429.00,294.25,116.78,1.38,161.47
5000,168.75,323.25,379.00,430.50,295.50,116.78,1.38,161.47
5500,169.00,324.00,380.25,431.75,296.75,116.69,1.13,131.62
6000,169.00,325.00,381.50,432.75,297.75,116.69,1.13,131.62
6500,169.00,325.75,382.50,434.25,299.00,116.18,1.09,126.61
7000,169.25,326.50,383.75,435.25,300.25,116.18,1.09,126.61
7500,169.25,327.50,384.50,436.25,301.50,116.32,1.23,142.49
8000,169.25,328.25,385.50,437.50,302.50,116.32,1.23,142.49
8500,169.25,329.00,386.50,438.75,303.75,115.74,1.85,213.69
9000,169.25,329.75,387.25,440.00,305.00,115.74,1.85,213.69
9500,169.50,330.50,388.25,441.00,306.00,114.98,1.21,138.60
10000,169.50,331.25,389.25,442.25,307.00,114.98,1.21,138.60
10500,169.75,331.75,390.25,443.25,308.25,115.18,1.34,154.78
11000,169.75,332.50,391.00,444.50,309.25,115.18,1.34,154.78
11500,170.00,333.25,392.25,445.50,310.25,115.77,1.47,169.93
12000,170.00,334.00,393.00,446.75,311.25,115.77,1.47,169.93
12500,170.25,334.50,394.00,447.75,312.50,115.97,1.36,157.79
13000,170.25,335.25,395.00,449.00,313.50,115.97,1.36,157.79
13500,170.50,336.00,396.00,450.00,314.50,115.95,0.96,111.71
14000,170.50,336.50,396.75,451.00,315.50,115.95,0.96,111.71
14500,170.75,337.25,397.75,452.25,316.75,116.40,0.73,85.28
15000,170.75,337.75,398.75,453.00,317.50,116.40,0.73,85.28
15500,171.00,338.25,399.50,454.00,318.50,116.96,0.68,79.45
16000,171.00,339.00,400.50,455.25,319.75,116.96,0.68,79.45
16500,171.25,339.50,401.25,456.25,320.50,115.61,0.74,85.03
17000,171.25,340.00,402.25,457.25,321.50,115.61,0.74,85.03
17500,171.50,340.50,403.25,458.25,322.50,116.25,0.68,79.47
18000,171.75,341.00,404.00,459.25,323.50,116.25,0.68,79.47
18500,171.75,341.50,405.00,460.00,324.25,116.15,0.70,81.81
19000,172.00,342.25,405.75,461.00,325.25,116.15,0.70,81.81
19500,172.00,342.75,406.75,462.25,326.50,116.51,0.73,85.08
20000,172.25,343.25,407.50,463.25,327.25,116.51,0.73,85.08
20500,172.25,343.75,408.25,464.00,328.25,116.86,0.72,83.72
21000,172.50,344.00,409.25,465.00,329.25,116.86,0.72,83.72
21500,172.50,344.75,410.25,466.00,330.00,115.75,0.42,48.10
22000,172.75,345.00,410.75,466.75,331.25,115.75,0.42,48.10
22500,172.75,345.50,411.50,468.00,332.00,115.16,0.28,32.35
23000,173.00,346.25,412.50,469.00,333.00,115.16,0.28,32.35
23500,173.00,346.50,413.25,469.75,334.00,115.60,0.16,17.92
24000,173.00,346.75,414.00,470.75,334.75,115.60,0.16,17.92
24500,173.25,347.25,414.75,471.75,335.75,115.90,0.06,7.30
25000,173.25,347.75,415.75,472.75,336.50,115.90,0.06,7.30
25500,173.50,348.00,416.50,473.50,337.25,76.44,0.18,13.87
26000,173.50,348.25,417.00,474.50,337.75,76.44,0.18,13.87
26500,173.75,348.50,417.50,475.00,338.00,16.05,0.01,0.11
27000,173.50,348.25,417.75,475.25,337.50,16.05,0.01,0.11
