Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
85000,16.75,20.25,21.50,21.00,19.00,13.79,0.01,0.12
500,16.75,20.25,21.50,21.00,19.00,0.00,0.00,0.00
1000,16.75,20.50,21.50,21.00,19.00,0.00,0.00,0.00
1500,16.75,20.25,21.50,20.75,19.00,13.53,0.01,0.11
2000,16.75,20.25,21.50,20.75,19.00,13.53,0.01,0.11
2500,16.75,20.25,21.50,20.75,19.00,14.64,0.01,0.13
3000,16.75,20.00,21.75,20.50,20.25,14.64,0.01,0.13
3500,16.75,20.50,21.50,21.00,19.75,80.87,2.07,167.61
4000,16.75,20.25,21.50,21.00,19.25,80.87,2.07,167.61
4500,16.75,20.25,21.50,20.25,18.75,81.33,2.16,175.83
5000,16.75,20.50,21.50,21.25,23.25,81.33,2.16,175.83
5500,16.75,20.25,21.75,20.75,22.25,81.03,2.21,178.99
6000,17.00,20.50,21.75,21.75,22.75,81.03,2.21,178.99
6500,17.00,20.50,22.00,22.25,26.00,101.65,2.79,283.13
7000,17.00,20.75,22.25,22.00,27.75,101.65,2.79,283.13
7500,17.25,21.25,22.75,22.50,31.00,115.14,3.36,386.60
8000,17.50,21.25,23.00,23.00,34.25,115.14,3.36,386.60
8500,17.75,21.75,23.75,24.25,37.75,115.01,3.36,386.87
9000,18.00,22.25,24.50,25.50,40.50,115.01,3.36,386.87
9500,18.50,23.00,25.50,27.00,46.00,112.14,3.22,361.07
10000,19.00,23.50,26.25,27.75,48.25,112.14,3.22,361.07
10500,19.25,24.75,27.50,30.25,55.00,94.36,2.67,251.55
11000,19.75,25.50,28.75,31.00,59.50,94.36,2.67,251.55
11500,20.50,26.50,30.00,33.50,62.25,92.19,2.68,247.39
12000,21.00,28.00,31.50,35.50,64.00,92.19,2.68,247.39
12500,21.75,28.75,32.75,37.25,69.00,87.21,2.59,226.00
13000,22.25,30.25,34.25,39.00,75.25,87.21,2.59,226.00
13500,23.00,31.25,35.50,42.25,78.25,93.52,2.59,242.41
14000,23.50,32.50,37.00,43.50,79.50,93.52,2.59,242.41
14500,24.25,34.25,38.50,45.75,83.25,94.93,2.58,245.29
15000,24.75,35.50,40.00,47.75,86.50,94.93,2.58,245.29
15500,25.50,36.75,41.50,50.00,88.00,115.13,3.35,386.15
16000,26.00,38.00,42.75,52.75,91.75,115.13,3.35,386.15
16500,26.50,39.50,44.25,54.50,95.50,114.82,3.34,383.94
17000,27.25,41.00,45.75,57.25,97.25,114.82,3.34,383.94
17500,28.00,42.25,47.25,59.00,98.50,114.83,3.34,383.46
18000,28.75,44.00,48.50,60.75,102.50,114.83,3.34,383.46
18500,29.25,45.50,50.00,63.75,105.75,115.27,3.32,382.24
19000,30.00,47.25,51.75,65.50,108.00,115.27,3.32,382.24
19500,30.75,48.50,53.00,67.25,110.00,115.74,3.32,384.42
20000,31.50,50.50,54.75,70.50,113.75,115.74,3.32,384.42
20500,32.00,52.25,56.75,72.25,116.50,115.72,3.33,385.62
21000,33.00,53.75,58.25,74.25,119.25,115.72,3.33,385.62
21500,33.75,55.75,60.00,77.50,121.00,116.09,3.31,384.10
22000,34.50,57.50,61.75,79.50,124.50,116.09,3.31,384.10
22500,35.25,59.50,63.75,81.75,127.25,115.77,3.31,383.25
23000,36.00,61.25,65.75,84.75,130.25,115.77,3.31,383.25
23500,36.75,63.25,67.75,87.50,132.50,117.04,3.32,388.75
24000,37.50,65.25,69.50,90.25,136.25,117.04,3.32,388.75
24500,38.25,67.25,71.50,92.75,140.00,115.83,3.35,387.72
25000,39.00,69.00,73.00,95.50,142.75,115.83,3.35,387.72
25500,40.00,71.25,75.00,98.25,145.25,116.59,3.31,385.72
26000,40.50,73.25,76.75,101.00,146.75,116.59,3.31,385.72
26500,41.25,75.25,78.75,103.50,149.00,115.45,3.31,381.71
27000,42.00,77.25,80.25,106.25,151.50,115.45,3.31,381.71
27500,42.75,79.25,82.25,109.00,152.50,115.03,3.31,380.84
28000,43.50,81.25,84.25,111.50,153.50,115.03,3.31,380.84
28500,44.25,83.25,85.75,114.25,154.75,115.15,3.31,380.67
29000,45.25,85.00,87.50,117.25,158.75,115.15,3.31,380.67
29500,45.75,87.25,89.25,120.00,161.50,115.08,3.31,381.40
30000,46.50,89.25,91.00,122.25,162.50,115.08,3.31,381.40
30500,47.25,91.50,92.50,125.00,164.00,115.63,3.30,381.31
31000,48.00,93.00,94.25,127.50,165.25,115.63,3.30,381.31
31500,48.75,95.25,96.00,129.50,166.00,115.00,3.30,379.31
32000,49.50,97.25,97.75,132.00,167.50,115.00,3.30,379.31
32500,50.25,99.00,99.00,134.50,169.25,115.55,3.29,380.50
33000,50.75,101.00,100.50,137.00,170.25,115.55,3.29,380.50
33500,51.50,102.75,102.25,139.00,171.25,115.52,3.34,385.51
34000,52.25,104.75,103.75,141.00,172.50,115.52,3.34,385.51
34500,53.00,106.75,105.50,143.50,173.25,116.85,3.32,388.12
35000,53.75,108.25,107.25,145.50,173.75,116.85,3.32,388.12
35500,54.25,110.50,109.00,147.50,174.50,115.70,3.31,382.69
36000,55.00,112.25,110.25,149.50,175.75,115.70,3.31,382.69
36500,55.75,114.00,111.75,151.50,176.75,114.86,3.34,383.43
37000,56.50,115.75,114.00,153.50,177.75,114.86,3.34,383.43
37500,57.00,117.50,115.00,155.50,178.25,115.64,3.35,387.31
38000,57.75,119.50,116.00,157.25,178.75,115.64,3.35,387.31
38500,58.25,121.00,117.00,159.50,179.50,115.66,3.31,383.35
39000,59.00,122.75,118.25,161.00,180.25,115.66,3.31,383.35
39500,59.50,124.75,119.50,162.75,181.00,115.38,3.31,382.09
40000,60.00,126.25,121.00,164.50,181.75,115.38,3.31,382.09
40500,60.75,128.00,122.25,166.25,182.50,114.97,3.29,378.45
41000,61.25,129.50,123.75,168.00,183.25,114.97,3.29,378.45
41500,61.75,131.25,124.75,169.75,184.00,115.17,3.28,378.16
42000,62.25,133.00,126.00,171.25,184.75,115.17,3.28,378.16
42500,63.00,134.75,127.25,172.75,185.50,116.24,3.29,382.80
43000,63.50,136.00,128.50,174.50,186.00,116.24,3.29,382.80
43500,64.00,137.75,129.75,176.00,186.75,115.36,3.34,384.80
44000,64.75,139.25,131.00,177.75,187.50,115.36,3.34,384.80
44500,65.25,140.50,132.25,179.00,188.00,116.21,3.29,382.88
45000,65.75,142.25,133.25,180.50,188.75,116.21,3.29,382.88
45500,66.25,143.75,134.50,182.25,189.50,115.52,3.33,384.11
46000,66.75,145.50,135.75,183.50,190.25,115.52,3.33,384.11
46500,67.25,146.75,137.00,185.25,190.75,116.60,3.33,388.27
47000,67.75,148.25,138.00,186.75,191.50,116.60,3.33,388.27
47500,68.50,149.75,139.25,188.25,192.25,116.31,3.35,389.48
48000,69.00,151.25,140.50,189.50,193.00,116.31,3.35,389.48
48500,69.25,152.50,141.75,191.00,194.00,116.07,3.34,387.35
49000,70.00,154.00,142.50,192.50,194.75,116.07,3.34,387.35
49500,70.25,155.50,143.75,193.75,195.50,115.75,3.33,384.91
50000,70.75,156.75,145.00,195.25,196.25,115.75,3.33,384.91
50500,71.25,158.25,146.00,196.50,197.00,115.90,3.34,386.80
51000,71.75,159.50,147.25,198.00,197.75,115.90,3.34,386.80
51500,72.25,161.00,148.25,199.25,198.25,117.10,3.31,388.02
52000,72.50,162.50,149.25,200.50,199.00,117.10,3.31,388.02
52500,73.00,163.50,150.25,201.75,199.75,115.38,3.32,383.41
53000,73.50,165.00,151.25,203.00,200.50,115.38,3.32,383.41
53500,74.00,166.25,152.75,204.50,201.00,114.67,3.31,379.67
54000,74.25,167.50,154.00,205.50,201.75,114.67,3.31,379.67
54500,74.75,168.75,155.00,207.00,202.50,116.54,3.31,385.38
55000,75.25,170.00,156.00,208.00,203.00,116.54,3.31,385.38
55500,75.50,171.25,157.00,209.25,204.00,116.67,3.34,389.86
56000,76.25,172.75,157.75,210.50,204.50,116.67,3.34,389.86
56500,76.50,173.50,158.75,211.75,205.00,115.25,3.31,381.21
57000,76.75,175.00,159.75,212.75,205.75,115.25,3.31,381.21
57500,77.00,176.00,160.50,213.75,206.50,115.80,3.31,383.03
58000,77.50,177.25,161.50,214.75,207.25,115.80,3.31,383.03
58500,77.75,178.25,162.50,215.75,208.00,115.03,3.32,382.36
59000,78.25,179.50,163.50,216.75,208.75,115.03,3.32,382.36
59500,78.50,180.50,164.50,217.75,209.50,115.58,3.31,382.42
60000,79.00,181.75,165.50,218.75,210.25,115.58,3.31,382.42
60500,79.25,182.50,166.50,219.75,210.75,116.76,3.31,386.71
61000,79.50,183.75,167.25,220.50,211.25,116.76,3.31,386.71
61500,80.00,184.75,168.00,221.75,211.75,116.14,3.32,385.51
62000,80.25,185.50,169.00,222.25,212.25,116.14,3.32,385.51
62500,80.50,186.25,170.00,223.50,212.75,116.51,3.34,388.64
63000,80.75,187.50,171.00,224.50,213.50,116.51,3.34,388.64
63500,81.25,188.50,172.00,225.50,213.75,115.60,3.32,383.77
64000,81.50,189.50,173.00,226.25,214.00,115.60,3.32,383.77
64500,81.75,190.25,173.75,227.25,214.25,117.12,3.35,391.80
65000,82.00,191.25,174.75,228.25,214.75,117.12,3.35,391.80
65500,82.50,192.00,175.50,229.25,215.25,116.12,3.31,383.81
66000,82.75,193.00,176.50,230.25,215.75,116.12,3.31,383.81
66500,83.00,193.75,177.50,231.00,216.50,108.90,3.06,333.69
67000,83.25,194.50,178.25,232.00,217.00,108.90,3.06,333.69
67500,83.50,195.50,179.25,233.00,217.50,98.83,2.69,265.51
68000,83.75,196.25,180.25,233.75,218.00,98.83,2.69,265.51
68500,84.00,196.75,181.00,234.75,218.25,115.53,3.34,385.99
69000,84.25,197.50,181.75,235.50,218.50,115.53,3.34,385.99
69500,84.50,198.25,182.50,236.25,218.75,115.31,3.32,382.95
70000,84.75,199.00,183.50,236.75,219.00,115.31,3.32,382.95
70500,84.75,199.50,184.00,237.50,219.25,116.61,3.31,385.89
71000,85.00,200.25,184.75,238.00,219.75,116.61,3.31,385.89
71500,85.25,201.00,185.50,238.75,220.00,116.22,3.34,387.66
72000,85.50,201.75,186.50,239.50,220.50,116.22,3.34,387.66
72500,85.75,202.50,187.25,240.25,220.75,115.58,3.31,382.79
73000,86.00,203.00,188.00,241.00,221.25,115.58,3.31,382.79
73500,86.25,203.75,188.75,241.50,221.75,116.63,3.31,386.23
74000,86.50,204.25,189.50,242.50,222.50,116.63,3.31,386.23
74500,86.75,205.25,190.25,243.25,223.00,114.68,3.31,379.58
75000,87.00,205.75,191.00,244.25,223.50,114.68,3.31,379.58
75500,87.25,206.50,191.75,245.00,224.25,116.28,3.33,387.51
76000,87.50,207.00,192.50,246.00,225.00,116.28,3.33,387.51
76500,87.75,208.00,193.25,246.75,225.50,116.64,3.31,386.46
77000,88.00,208.50,194.25,248.00,226.25,116.64,3.31,386.46
77500,88.50,209.25,195.25,249.00,227.00,114.60,3.27,374.50
78000,88.50,209.75,196.25,249.75,227.50,114.60,3.27,374.50
78500,89.00,210.50,196.75,250.75,228.25,115.42,3.30,381.28
79000,89.00,211.25,197.75,251.75,228.75,115.42,3.30,381.28
79500,89.50,212.00,198.75,252.75,229.25,116.28,3.31,385.08
80000,89.75,212.50,199.25,253.50,229.50,116.28,3.31,385.08
80500,90.00,213.25,200.25,254.50,229.75,116.45,3.32,387.12
81000,90.25,214.00,201.00,255.25,230.25,116.45,3.32,387.12
81500,90.50,214.50,201.75,256.25,230.50,115.34,3.33,384.62
82000,90.75,215.00,202.50,257.25,230.75,115.34,3.33,384.62
82500,91.00,215.75,203.25,258.00,231.25,115.80,3.30,382.29
83000,91.25,216.25,204.00,259.00,231.50,115.80,3.30,382.29
83500,91.50,217.00,204.50,259.75,232.00,115.24,3.30,380.59
84000,91.75,217.50,205.25,260.75,232.25,115.24,3.30,380.59
84500,92.00,218.25,206.00,261.75,232.75,114.71,3.30,378.79
85000,92.50,218.75,206.75,263.00,233.25,114.71,3.30,378.79
85500,92.75,219.50,207.25,263.75,233.50,114.21,3.30,376.85
86000,93.00,220.00,208.00,264.75,233.75,114.21,3.30,376.85
86500,93.00,220.50,208.50,265.75,233.75,115.32,3.33,383.92
87000,93.50,221.25,208.75,266.75,234.00,115.32,3.33,383.92
87500,93.50,221.75,209.25,267.75,234.00,115.66,3.32,383.72
88000,94.00,222.50,209.75,268.75,234.00,115.66,3.32,383.72
88500,94.50,223.00,210.25,269.75,234.25,114.07,3.30,376.55
89000,94.75,223.75,210.50,270.50,234.25,114.07,3.30,376.55
89500,95.00,224.25,210.75,271.50,234.50,116.02,3.34,387.18
90000,95.25,224.75,210.50,272.50,234.50,116.02,3.34,387.18
90500,95.25,225.25,209.50,273.75,234.25,116.01,3.33,385.78
91000,95.75,226.00,208.75,274.50,234.00,116.01,3.33,385.78
91500,96.50,226.50,207.50,275.50,233.75,116.57,3.33,387.65
92000,95.50,227.00,206.50,276.25,233.25,116.57,3.33,387.65
92500,96.00,227.75,205.75,277.50,232.75,115.22,3.30,380.45
